city,category,year,count,region,total_count,cumulative_count
Meerut,total_accidents,2013,842,non_metro,4701,2692
Mumbai,total_accidents,2013,23512,metro,119613,73575
Nagpur,total_accidents,2013,1265,non_metro,5982,3579
Nashik,total_accidents,2013,1127,non_metro,4521,2150
Patna,total_accidents,2013,1214,non_metro,5482,3624
Pune,total_accidents,2013,1687,metro,6587,3572
Raipur,total_accidents,2013,2242,non_metro,8750,4464
Rajkot,total_accidents,2013,796,non_metro,4366,2816
Srinagar,total_accidents,2013,473,non_metro,2285,1476
Surat,total_accidents,2013,971,non_metro,5217,3340
Thiruvananthapuram,total_accidents,2013,2e3,non_metro,8139,3933
Thrissur,total_accidents,2013,1297,non_metro,6570,3847
Tiruchirapalli,total_accidents,2013,641,non_metro,2958,1419
Vadodara,total_accidents,2013,1170,non_metro,6034,3709
Varanasi,total_accidents,2013,416,non_metro,1772,937
Vijayawada City,total_accidents,2013,1496,non_metro,6409,3096
Visakhapatnam,total_accidents,2013,1548,non_metro,7737,4535
Agra,killed,2013,502,non_metro,2538,1561
Ahmedabad,killed,2013,230,non_metro,1298,708
Allahabad,killed,2013,482,non_metro,1850,890
Amritsar,killed,2013,98,non_metro,386,193
Asansol-Durgapur,killed,2013,218,non_metro,1092,672
Aurangabad,killed,2013,160,non_metro,865,525
Bengaluru,killed,2013,752,metro,3639,2197
Bhopal,killed,2013,257,non_metro,1328,857
Chandigarh,killed,2013,117,non_metro,513,253
Chennai,killed,2013,1247,metro,4652,2648
Coimbatore,killed,2013,248,non_metro,1304,777
Delhi,killed,2013,1820,metro,9044,5751
Dhanbad,killed,2013,248,non_metro,495,384
Faridabad,killed,2013,215,non_metro,1176,711
Ghaziabad,killed,2013,406,non_metro,2037,1319
Gwalior,killed,2013,247,non_metro,1212,727
Hyderabad,killed,2013,493,metro,2234,1398
Indore,killed,2013,422,non_metro,2177,1294
Jabalpur,killed,2013,327,non_metro,1544,862
Jaipur,killed,2013,399,non_metro,2104,1196
Jamshedpur,killed,2013,153,non_metro,798,549
Jodhpur,killed,2013,298,non_metro,1429,875
Kannur,killed,2013,58,non_metro,335,191
Kanpur,killed,2013,554,non_metro,2383,1118
Khozikode,killed,2013,182,non_metro,674,356
Kochi,killed,2013,151,non_metro,781,477
Kolkata,killed,2013,437,metro,2225,1353
Kollam,killed,2013,265,non_metro,1121,700
Kota,killed,2013,109,non_metro,567,334
Lucknow,killed,2013,473,non_metro,2550,1487
Ludhiana,killed,2013,324,non_metro,1469,880
Madurai,killed,2013,145,non_metro,713,397
Mallapuram,killed,2013,354,non_metro,1727,1003
Meerut,killed,2013,352,non_metro,1966,1183
Mumbai,killed,2013,502,metro,2698,1553
Nagpur,killed,2013,310,non_metro,1367,826
